Image;Emotion;Trajectory
anger_0251;N;<576.0,1562.0,0.0>,<573.0,1531.0,32.0>,<565.37616,1473.3853,47.0>,<560.581,1418.134,58.0>,<558.2883,1371.2269,70.0>,<559.8312,1311.2985,81.0>,<566.4091,1259.0,92.0>,<576.00507,1212.8406,103.0>,<590.2668,1164.1997,114.0>,<604.3816,1127.8551,125.0>,<619.6911,1091.6073,136.0>,<634.6172,1060.7656,147.0>,<651.2999,1032.0502,158.0>,<666.0136,1008.1196,170.0>,<679.5,986.5,180.0>,<694.6048,968.0386,203.0>,<710.34546,947.3181,225.0>,<725.18396,929.4778,247.0>,<735.8015,916.0382,270.0>,<744.8283,905.17163,292.0>,<752.65356,899.5099,314.0>,<752.0,900.0,326.0>,
disgust_0758;N;<737.0,1492.0,0.0>,<712.0,1461.0,42.0>,<697.2258,1422.8872,57.0>,<688.0388,1377.4252,68.0>,<682.96735,1327.6407,79.0>,<681.0,1264.9774,90.0>,<683.33966,1208.924,101.0>,<692.64954,1160.1156,112.0>,<706.09875,1112.7039,123.0>,<723.5433,1066.9135,134.0>,<741.43365,1038.923,145.0>,<745.0,1035.0,147.0>,<745.0,1035.0,153.0>,
amusement_0515;P;<753.0,1550.0,0.0>,<744.0,1545.0,52.0>,<735.91833,1534.6093,59.0>,<727.4624,1512.9722,70.0>,<718.93585,1471.4867,81.0>,<713.6196,1412.9136,92.0>,<711.0,1341.3057,103.0>,<713.0,1268.7256,114.0>,<718.69794,1211.1144,125.0>,<737.4479,1157.454,137.0>,<748.0,1136.0,144.0>,<748.0,1136.0,150.0>,
amusement_0745;P;<670.0,1708.0,0.0>,<662.0,1696.0,47.0>,<645.3333,1665.0833,59.0>,<634.0225,1641.6229,70.0>,<620.0726,1607.6255,81.0>,<607.2178,1565.9701,92.0>,<597.3418,1512.0636,103.0>,<591.32086,1446.2312,114.0>,<591.6689,1394.9463,126.0>,<594.33356,1347.3308,137.0>,<601.9139,1297.6921,148.0>,<614.63055,1248.4623,159.0>,<629.559,1200.3691,170.0>,<642.8503,1157.1656,181.0>,<654.74567,1123.0115,192.0>,<667.41187,1093.1763,203.0>,<681.39014,1068.1013,214.0>,<694.735,1046.775,226.0>,<705.0691,1028.4756,237.0>,<713.42444,1012.7572,248.0>,<719.8068,998.38635,259.0>,<726.206,985.77905,270.0>,<731.7607,974.47864,281.0>,<737.1401,964.1498,292.0>,<742.1339,954.59827,303.0>,<745.5691,944.1544,314.0>,<748.5445,935.822,326.0>,<750.5618,929.31445,337.0>,<753.5359,924.9282,348.0>,<756.5341,922.4658,359.0>,<758.5331,919.4669,370.0>,<759.0,917.46936,381.0>,<759.0,915.4801,392.0>,<758.47894,913.479,403.0>,<758.0,912.2418,414.0>,<757.2415,911.2416,426.0>,<757.0,910.2484,437.0>,<756.0,909.5006,448.0>,<756.0,907.5034,459.0>,<755.0,905.0449,470.0>,<755.4782,902.0436,481.0>,<756.4799,899.04016,492.0>,<758.47626,894.5713,503.0>,<761.4003,889.59973,514.0>,<767.8974,883.10266,526.0>,<776.3366,876.598,537.0>,<785.8339,868.70764,548.0>,<795.26636,857.73364,559.0>,<805.7422,846.71484,570.0>,<818.12537,835.32117,581.0>,<831.94116,824.6929,592.0>,<848.3192,819.8351,603.0>,<855.0,819.0,608.0>,<855.0,819.0,613.0>,
excitement_0261;P;<667.0,1629.0,0.0>,<652.0,1585.0,33.0>,<640.8751,1522.1257,45.0>,<631.6186,1434.4642,56.0>,<631.2066,1334.8766,67.0>,<643.917,1250.5734,78.0>,<672.1183,1153.9838,90.0>,<708.25476,1096.3877,101.0>,<724.0,1081.0,108.0>,<724.0,1081.0,113.0>,
anger_0802;N;<675.0,1747.0,0.0>,<673.0,1746.0,73.0>,<668.50836,1740.5084,88.0>,<665.48206,1735.482,99.0>,<661.5022,1729.0044,110.0>,<658.4841,1720.2102,121.0>,<654.4643,1709.3928,132.0>,<650.79596,1694.8573,143.0>,<645.7019,1678.8717,155.0>,<639.71216,1662.8992,166.0>,<633.7095,1644.365,177.0>,<628.484,1621.904,188.0>,<620.96387,1598.6506,199.0>,<612.20636,1574.8953,210.0>,<606.4912,1550.9473,221.0>,<602.2391,1529.3905,233.0>,<600.2395,1507.6348,244.0>,<599.0,1484.5616,255.0>,<598.0,1461.6061,266.0>,<599.76764,1437.0209,277.0>,<601.7591,1408.6134,288.0>,<605.5478,1375.8436,299.0>,<611.32904,1339.2493,310.0>,<620.7915,1299.8341,322.0>,<630.6206,1261.368,333.0>,<641.55,1223.5918,344.0>,<655.2994,1189.13,355.0>,<667.55725,1157.6068,366.0>,<678.82513,1129.0546,377.0>,<688.0085,1105.7267,388.0>,<697.066,1085.3351,400.0>,<705.054,1067.1284,411.0>,<713.04114,1049.9177,422.0>,<722.00604,1035.7394,433.0>,<731.04504,1021.67114,444.0>,<739.0881,1009.3679,455.0>,<747.0623,998.1721,466.0>,<752.5464,988.13403,478.0>,<757.5519,978.12024,489.0>,<760.531,967.407,500.0>,<764.5545,957.11365,511.0>,<769.3267,949.67334,522.0>,<776.141,944.42957,533.0>,<777.0,944.0,534.0>,<777.0,944.0,540.0>,
excitement_0267;P;<706.0,1554.0,0.0>,<701.0,1534.0,47.0>,<691.18616,1487.7272,59.0>,<687.6008,1451.2101,70.0>,<680.30945,1402.0461,81.0>,<682.02814,1353.451,92.0>,<686.6752,1317.5216,103.0>,<688.9928,1281.0433,115.0>,<694.33655,1240.298,126.0>,<702.222,1196.5344,137.0>,<713.9715,1152.0856,148.0>,<729.2375,1118.6438,159.0>,<746.13794,1088.0085,170.0>,<760.42303,1064.0496,181.0>,<773.67737,1045.484,192.0>,<786.61584,1026.5762,203.0>,<798.69916,1009.6843,215.0>,<808.0,1003.0,222.0>,<808.0,1003.0,228.0>,
fear_0698;N;<677.0,1722.0,0.0>,<675.0,1714.0,130.0>,<664.29285,1685.2017,145.0>,<656.6905,1654.0858,156.0>,<646.65717,1611.6228,167.0>,<636.6846,1561.0966,178.0>,<629.66614,1500.658,190.0>,<629.33984,1429.2123,201.0>,<632.66077,1374.4803,212.0>,<638.9747,1327.2026,223.0>,<647.32385,1280.7104,234.0>,<660.11884,1237.9231,245.0>,<676.21826,1194.302,256.0>,<693.0531,1155.9989,268.0>,<708.08527,1121.8295,279.0>,<722.4189,1092.1622,290.0>,<737.9922,1067.5117,301.0>,<754.52045,1045.8661,312.0>,<769.3088,1028.0757,323.0>,<781.674,1012.7136,334.0>,<792.0858,999.297,345.0>,<800.49774,988.8778,357.0>,<808.4618,978.9227,368.0>,<815.46564,970.15076,379.0>,<821.21814,963.17285,390.0>,<827.42474,958.7876,401.0>,<829.0,958.0,403.0>,<829.0,958.0,409.0>,
awe_0586;P;<705.0,1581.0,0.0>,<695.0,1551.0,41.0>,<688.6743,1529.5911,47.0>,<673.39966,1493.3992,59.0>,<666.4304,1462.7217,70.0>,<658.878,1421.1459,81.0>,<653.29236,1384.0927,92.0>,<654.3608,1352.1138,103.0>,<654.0,1319.0062,114.0>,<663.74524,1285.6464,125.0>,<667.3333,1252.666,136.0>,<676.3388,1217.9803,147.0>,<685.6518,1188.0557,159.0>,<695.22595,1158.3221,170.0>,<705.8437,1128.3907,181.0>,<716.7784,1102.4432,192.0>,<730.32806,1080.1987,203.0>,<744.9716,1059.7854,214.0>,<759.36237,1042.6376,225.0>,<773.29224,1029.9341,236.0>,<784.0,1024.0,244.0>,<784.0,1024.0,249.0>,
amusement_0749;P;<681.0,1660.0,0.0>,<673.0,1647.0,46.0>,<665.3686,1626.1057,59.0>,<660.93774,1614.5006,70.0>,<657.30383,1595.7347,81.0>,<654.3163,1575.4794,92.0>,<650.63367,1552.1189,103.0>,<647.6565,1525.2671,114.0>,<644.6666,1496.9998,125.0>,<642.3433,1465.8359,136.0>,<641.0,1427.8505,148.0>,<641.6516,1383.3616,159.0>,<644.9281,1334.2898,170.0>,<652.54987,1285.2506,181.0>,<661.8144,1249.5568,192.0>,<675.2815,1214.602,203.0>,<688.65393,1179.6472,214.0>,<700.604,1148.99,225.0>,<713.1993,1120.6014,236.0>,<724.5151,1094.9698,248.0>,<737.1018,1074.7263,259.0>,<749.42993,1058.9984,270.0>,<760.83636,1045.5964,281.0>,<769.7592,1033.689,292.0>,<778.2568,1021.61487,303.0>,<786.0,1016.0,311.0>,<786.0,1016.0,317.0>,
anger_0272;N;<651.0,1741.0,0.0>,<650.0,1737.0,77.0>,<645.6178,1723.8534,92.0>,<642.3034,1711.8204,103.0>,<637.76685,1698.684,114.0>,<632.30884,1683.4902,126.0>,<626.3393,1666.018,137.0>,<620.3601,1645.5337,148.0>,<615.45557,1622.4664,159.0>,<609.86615,1597.065,170.0>,<604.96924,1570.7845,181.0>,<601.9464,1542.625,192.0>,<597.9756,1512.8046,203.0>,<595.47107,1481.5371,214.0>,<595.51044,1449.3228,226.0>,<596.52856,1415.0148,237.0>,<598.9923,1380.5657,248.0>,<602.0218,1342.7823,259.0>,<607.9655,1302.6809,270.0>,<618.01404,1258.9485,281.0>,<630.36176,1214.4344,292.0>,<645.78815,1172.5297,303.0>,<661.73553,1134.5951,314.0>,<678.7583,1100.9531,326.0>,<694.74805,1072.4409,337.0>,<710.1423,1046.6133,348.0>,<725.06305,1026.0618,359.0>,<738.0816,1010.47815,370.0>,<749.20404,996.3551,381.0>,<758.3126,984.81226,392.0>,<765.3196,974.8008,403.0>,<770.82495,964.9376,414.0>,<776.70276,956.7229,426.0>,<782.8225,950.355,437.0>,<787.82996,942.755,448.0>,<790.0,940.0,457.0>,<790.0,940.0,462.0>,
amusement_0493;P;<718.0,1580.0,0.0>,<710.0,1564.0,41.0>,<703.22723,1542.7157,47.0>,<697.6091,1509.8727,58.0>,<692.26294,1483.6832,70.0>,<688.31866,1447.0984,81.0>,<688.6688,1410.3536,92.0>,<687.0,1368.8308,103.0>,<687.66455,1323.3864,114.0>,<693.21704,1275.2015,125.0>,<702.15466,1220.334,136.0>,<712.8568,1173.5012,147.0>,<725.80396,1132.9542,158.0>,<740.0195,1097.5885,170.0>,<753.7126,1069.956,181.0>,<766.0624,1047.2627,192.0>,<777.03015,1025.3336,203.0>,<786.03577,1006.53564,214.0>,<794.36255,991.8656,225.0>,<802.91486,979.5022,236.0>,<811.2717,970.7283,247.0>,<818.31885,961.68115,258.0>,<824.7076,954.15405,270.0>,<829.7292,944.69446,281.0>,<836.27136,936.72864,292.0>,<842.8338,932.4332,303.0>,<845.0,932.0,305.0>,<845.0,932.0,311.0>,
disgust_0798;N;<741.0,1583.0,0.0>,<738.0,1579.0,72.0>,<734.6434,1571.6085,81.0>,<729.9887,1559.9774,92.0>,<724.97656,1546.6041,104.0>,<720.67566,1528.3784,115.0>,<715.02655,1506.7642,126.0>,<711.6865,1479.1487,137.0>,<707.04517,1441.7097,148.0>,<704.3581,1393.5946,159.0>,<703.0,1343.7473,170.0>,<703.6287,1292.6527,181.0>,<708.89355,1239.9578,192.0>,<715.4814,1202.3152,204.0>,<722.8602,1172.6987,215.0>,<729.8159,1145.1311,226.0>,<736.41406,1119.1542,237.0>,<744.35724,1096.5176,248.0>,<753.35376,1075.1156,259.0>,<761.2947,1056.8369,270.0>,<768.72314,1040.405,281.0>,<775.69214,1027.0518,292.0>,<781.68646,1014.6271,304.0>,<786.6796,1002.2007,315.0>,<792.10504,991.7899,326.0>,<796.07983,983.84033,337.0>,<801.08453,977.37317,348.0>,<805.06793,971.9321,359.0>,<809.0707,966.9293,370.0>,<811.5307,962.9386,381.0>,<813.5233,961.0,392.0>,<814.0,961.0,395.0>,<814.0,961.0,401.0>,
fear_0968;N;<765.0,1541.0,0.0>,<761.0,1537.0,75.0>,<753.6683,1519.6731,89.0>,<746.34955,1498.3861,101.0>,<735.6248,1468.8745,112.0>,<728.9991,1441.3293,123.0>,<728.90173,1421.2948,134.0>,<728.69147,1403.1117,145.0>,<725.36285,1387.5399,156.0>,<724.0,1372.496,167.0>,<723.0,1356.3186,178.0>,<723.0,1336.0859,189.0>,<724.63074,1310.1699,201.0>,<726.21906,1282.4667,212.0>,<730.456,1247.9481,223.0>,<735.21136,1215.9149,234.0>,<741.4274,1185.2902,245.0>,<750.96295,1154.1112,256.0>,<760.4,1122.9999,267.0>,<768.33185,1094.8384,278.0>,<775.3452,1068.9644,289.0>,<783.8768,1046.6711,301.0>,<792.3279,1027.1803,312.0>,<801.2951,1010.4098,323.0>,<810.2567,995.61487,334.0>,<818.2653,983.60205,345.0>,<824.6939,973.1769,356.0>,<830.6296,964.28406,367.0>,<836.0771,955.8458,378.0>,<841.6335,947.822,389.0>,<846.0718,940.39233,401.0>,<850.07245,934.39136,412.0>,<853.5432,929.9136,423.0>,<857.0601,925.9398,434.0>,<859.5286,921.94275,445.0>,<861.5168,916.96643,456.0>,<862.53326,912.9335,467.0>,<864.5152,910.48486,478.0>,<866.5139,908.4861,489.0>,<867.5021,907.0,501.0>,<869.0,907.0,509.0>,<869.0,907.0,514.0>,
anger_0017;N;<683.0,1310.0,0.0>,<687.0,1270.0,33.0>,<692.0059,1236.1382,45.0>,<700.8877,1187.8962,56.0>,<710.34576,1139.9478,67.0>,<721.2934,1110.7545,78.0>,<729.0924,1095.1178,90.0>,<740.0857,1079.1906,101.0>,<750.4631,1059.0739,112.0>,<762.9738,1038.7146,123.0>,<776.8416,1020.8501,134.0>,<788.1705,1005.43945,145.0>,<802.5721,993.51746,157.0>,<805.0,992.0,158.0>,<805.0,992.0,164.0>,
amusement_0487;P;<749.0,1556.0,0.0>,<738.0,1550.0,41.0>,<720.0641,1526.941,56.0>,<711.25824,1500.2184,67.0>,<710.3251,1473.8512,78.0>,<708.32324,1438.4956,89.0>,<707.0151,1405.4137,100.0>,<706.0,1371.9949,111.0>,<705.69086,1334.8724,122.0>,<706.64,1298.56,133.0>,<710.97687,1259.1387,145.0>,<716.28455,1221.1543,156.0>,<723.94867,1183.3079,167.0>,<732.7839,1148.5404,178.0>,<745.74335,1121.5133,189.0>,<757.0771,1098.2305,200.0>,<765.4729,1076.8177,211.0>,<772.47833,1057.4238,222.0>,<780.40344,1040.1931,233.0>,<789.36536,1025.8606,245.0>,<797.42267,1013.3661,256.0>,<802.77686,1001.4463,267.0>,<808.74286,990.67615,278.0>,<815.291,983.28174,289.0>,<821.72473,977.27527,300.0>,<826.6995,972.3004,311.0>,<832.69995,968.43335,322.0>,<836.0,966.0,330.0>,<836.0,966.0,336.0>,
anger_0826;N;<728.0,1511.0,0.0>,<728.0,1507.0,83.0>,<729.0,1500.2753,92.0>,<730.6644,1493.3422,103.0>,<731.3428,1486.0283,114.0>,<727.6841,1480.0261,125.0>,<723.05365,1475.0536,136.0>,<719.36127,1470.0837,148.0>,<716.3681,1464.1044,159.0>,<714.36664,1456.4664,170.0>,<713.3669,1447.4677,181.0>,<713.0,1439.4645,192.0>,<712.38086,1429.9042,203.0>,<711.3788,1418.6516,214.0>,<709.38965,1406.3379,225.0>,<708.3925,1391.1403,236.0>,<708.0,1374.5175,248.0>,<708.0,1356.6248,259.0>,<709.0,1339.9568,270.0>,<709.5842,1324.9104,281.0>,<710.5802,1312.5189,292.0>,<712.0,1300.5226,303.0>,<714.1615,1288.5155,314.0>,<716.5766,1275.5403,325.0>,<719.1374,1262.019,336.0>,<721.11615,1247.0935,348.0>,<725.68164,1233.0762,359.0>,<728.5544,1219.6737,370.0>,<729.0,1207.65,381.0>,<730.0,1198.2361,392.0>,<731.0,1190.3727,403.0>,<732.5455,1183.3635,414.0>,<736.06085,1178.4088,425.0>,<741.03784,1172.9243,436.0>,<743.5264,1164.8944,448.0>,<746.52716,1156.3643,459.0>,<748.52484,1147.9005,470.0>,<751.0354,1139.4115,481.0>,<756.552,1130.4133,492.0>,<763.53674,1122.951,503.0>,<765.0,1121.0,506.0>,<765.0,1121.0,511.0>,
anger_0007;N;<680.0,1565.0,0.0>,<678.0,1546.0,22.0>,<670.9555,1494.6442,36.0>,<663.1477,1437.3293,48.0>,<661.4051,1378.1582,59.0>,<666.5759,1324.5044,70.0>,<676.1375,1273.0409,82.0>,<687.01776,1228.9291,93.0>,<696.86884,1190.5247,104.0>,<708.5501,1151.7579,115.0>,<720.05634,1118.3079,126.0>,<736.3653,1088.6539,137.0>,<753.2416,1063.0112,149.0>,<769.71,1039.5237,160.0>,<785.2248,1020.3557,171.0>,<789.0,1017.0,173.0>,<789.0,1017.0,179.0>,
excitement_0215;P;<649.0,1567.0,0.0>,<643.0,1532.0,33.0>,<635.4236,1473.8125,48.0>,<630.5864,1419.4166,59.0>,<630.0,1376.595,70.0>,<633.3692,1322.9386,81.0>,<639.71857,1273.6885,93.0>,<650.2899,1222.8077,104.0>,<669.4424,1177.4711,115.0>,<683.8715,1142.676,126.0>,<695.8009,1114.1313,137.0>,<707.098,1088.9452,148.0>,<719.3619,1066.7687,159.0>,<734.9074,1046.8657,170.0>,<749.27924,1030.1095,181.0>,<762.5524,1015.85547,193.0>,<773.3863,1002.42065,204.0>,<782.3834,992.02075,215.0>,<790.4902,984.1323,226.0>,<796.0,980.0,234.0>,<796.0,980.0,239.0>,
amusement_0499;P;<713.0,1566.0,0.0>,<711.0,1558.0,66.0>,<707.6355,1540.4952,78.0>,<701.93744,1510.2496,90.0>,<695.26355,1458.1084,101.0>,<690.6458,1396.01,112.0>,<689.66437,1334.4045,123.0>,<693.31946,1276.5277,134.0>,<701.95966,1223.5015,145.0>,<710.65247,1194.0425,156.0>,<721.49585,1172.5774,167.0>,<724.0,1169.0,169.0>,<724.0,1169.0,175.0>,
disgust_0802;N;<757.0,1507.0,0.0>,<756.0,1502.0,71.0>,<752.62177,1493.5544,81.0>,<747.6481,1482.9442,92.0>,<742.6606,1470.312,103.0>,<738.6936,1455.7744,114.0>,<734.69794,1439.7917,125.0>,<730.7001,1423.8004,136.0>,<728.35986,1411.1592,147.0>,<727.36584,1400.4634,158.0>,<727.0,1390.9126,170.0>,<727.0,1380.9384,181.0>,<727.0,1371.9839,192.0>,<727.0,1362.0364,203.0>,<727.592,1352.0403,214.0>,<728.59424,1340.4344,225.0>,<729.0,1326.3323,236.0>,<730.56934,1310.4451,247.0>,<732.0,1295.4103,258.0>,<732.0,1279.4949,270.0>,<732.5562,1261.9943,281.0>,<735.66705,1242.9989,292.0>,<742.21484,1221.9092,303.0>,<750.2109,1194.1566,314.0>,<759.7111,1161.2399,325.0>,<772.74365,1125.8387,336.0>,<787.75903,1090.0107,347.0>,<805.76117,1059.0647,358.0>,<821.64996,1032.7429,370.0>,<835.15857,1012.7886,381.0>,<845.0,1002.0,389.0>,<845.0,1002.0,394.0>,
fear_0696;N;<685.0,1452.0,0.0>,<684.0,1420.0,33.0>,<688.195,1363.9293,48.0>,<691.38916,1313.1355,59.0>,<696.37,1271.8021,70.0>,<705.0384,1224.4108,81.0>,<717.0006,1192.3301,92.0>,<723.3333,1159.0004,103.0>,<738.2113,1128.8802,114.0>,<750.2642,1101.8187,125.0>,<759.6393,1080.742,136.0>,<767.5402,1060.2844,148.0>,<775.53784,1042.2898,159.0>,<784.14825,1025.3331,170.0>,<795.79004,1008.31494,181.0>,<807.6809,992.09204,192.0>,<818.11005,977.26794,203.0>,<826.948,966.052,214.0>,<837.0353,954.9647,225.0>,<845.95355,944.4557,236.0>,<855.9653,934.6278,248.0>,<865.3388,925.07654,259.0>,<874.91876,915.0812,270.0>,<885.50964,908.2451,281.0>,<895.0,908.0,289.0>,<895.0,908.0,294.0>,
fear_0964;N;<693.0,1542.0,0.0>,<688.0,1523.0,41.0>,<681.6962,1489.3293,56.0>,<678.84216,1454.5272,67.0>,<677.63605,1418.9966,78.0>,<678.4411,1379.3003,89.0>,<685.0017,1350.9932,100.0>,<689.357,1326.858,111.0>,<693.65814,1300.4443,122.0>,<697.97833,1276.0865,133.0>,<700.64905,1247.2639,144.0>,<707.22876,1218.9595,156.0>,<713.9129,1189.7979,167.0>,<722.8532,1159.0092,178.0>,<731.52026,1133.4392,189.0>,<739.4194,1114.5807,200.0>,<748.4511,1099.7104,211.0>,<754.84644,1085.6918,222.0>,<761.83374,1072.7212,233.0>,<769.4442,1059.3336,244.0>,<777.3938,1048.4093,256.0>,<786.3928,1035.8126,267.0>,<794.41943,1022.37085,278.0>,<803.0294,1011.9706,289.0>,<812.9897,1003.6083,300.0>,<821.9533,997.228,311.0>,<829.0,996.0,319.0>,<829.0,996.0,324.0>,
anger_0250;N;<661.0,1516.0,0.0>,<658.0,1495.0,49.0>,<653.417,1461.5586,56.0>,<648.61865,1405.6609,67.0>,<649.70355,1359.19,78.0>,<653.0682,1293.9392,89.0>,<662.35486,1231.2499,100.0>,<676.7176,1183.8472,111.0>,<689.9563,1142.153,122.0>,<703.6069,1103.8119,133.0>,<715.8544,1072.0065,144.0>,<727.5597,1048.789,156.0>,<739.22504,1036.7749,167.0>,<745.89056,1027.4792,178.0>,<751.2674,1020.0989,189.0>,<754.3032,1013.6968,200.0>,<756.6233,1007.50684,211.0>,<759.25256,1000.1211,222.0>,<762.2061,993.1908,233.0>,<766.22614,987.16077,244.0>,<771.2022,983.3989,256.0>,<776.81464,979.7903,267.0>,<780.0,979.0,274.0>,<780.0,979.0,280.0>,
awe_0587;P;<690.0,1566.0,0.0>,<678.0,1526.0,31.0>,<665.35315,1473.2216,43.0>,<655.25977,1406.5227,54.0>,<649.6324,1341.3019,65.0>,<650.0,1297.6357,76.0>,<656.35657,1252.4694,87.0>,<664.3871,1217.484,99.0>,<676.3293,1184.3463,110.0>,<686.2784,1152.5093,121.0>,<693.62463,1125.7822,132.0>,<701.9831,1105.0507,143.0>,<707.9084,1088.5471,154.0>,<716.5375,1076.1938,165.0>,<723.87164,1063.6328,176.0>,<730.5361,1055.4639,187.0>,<740.0818,1049.3837,199.0>,<742.0,1049.0,201.0>,<742.0,1049.0,206.0>,
fear_0691;N;<677.0,1565.0,0.0>,<657.0,1533.0,33.0>,<641.9588,1491.1823,45.0>,<628.99,1431.9298,56.0>,<621.4372,1363.6216,67.0>,<625.8469,1305.2426,79.0>,<635.437,1239.4403,90.0>,<648.07324,1191.0648,101.0>,<664.1679,1152.9224,112.0>,<679.644,1121.0486,123.0>,<691.25433,1096.8405,134.0>,<698.9464,1082.1072,145.0>,<704.9229,1070.1542,156.0>,<709.2575,1058.8562,167.0>,<714.2227,1050.5546,179.0>,<718.2457,1044.7543,190.0>,<722.2381,1039.7618,201.0>,<726.24207,1035.7579,212.0>,<732.4416,1033.3896,223.0>,<738.0,1034.0,231.0>,<738.0,1034.0,236.0>,
anger_0019;N;<688.0,1576.0,0.0>,<670.0,1536.0,32.0>,<654.2842,1468.2737,47.0>,<647.4183,1404.9889,59.0>,<650.1671,1352.4396,70.0>,<658.89777,1284.5111,81.0>,<676.35016,1232.3607,92.0>,<692.37823,1182.8654,103.0>,<705.8256,1134.8339,114.0>,<719.6538,1096.0331,125.0>,<740.48535,1065.272,136.0>,<753.90826,1043.4863,147.0>,<764.8028,1026.5634,159.0>,<773.5232,1013.2152,170.0>,<781.4772,1001.90356,181.0>,<787.8107,991.9822,192.0>,<794.85175,983.531,203.0>,<800.2193,977.78076,214.0>,<805.1716,973.82837,225.0>,<809.1901,969.80994,236.0>,<812.59436,966.40564,247.0>,<815.5866,965.0,259.0>,<818.0,965.0,266.0>,<818.0,965.0,272.0>,
awe_0589;P;<703.0,1569.0,0.0>,<697.0,1544.0,41.0>,<691.15564,1512.5116,48.0>,<685.56726,1461.5907,59.0>,<686.0,1420.2349,70.0>,<689.1224,1361.4835,81.0>,<695.0911,1303.5737,92.0>,<702.7587,1254.3785,103.0>,<714.06104,1205.4326,115.0>,<729.50726,1164.0328,126.0>,<743.322,1133.3628,137.0>,<753.41345,1108.8077,148.0>,<761.6395,1086.7413,159.0>,<769.6239,1068.7522,170.0>,<776.94525,1055.4612,181.0>,<783.6094,1044.7383,192.0>,<789.27637,1036.4473,203.0>,<793.28827,1029.0675,215.0>,<797.2487,1022.50256,226.0>,<799.2679,1016.09814,237.0>,<803.24164,1011.7584,248.0>,<806.62134,1009.0,259.0>,<810.7907,1010.19385,270.0>,<812.0,1011.0,272.0>,<812.0,1011.0,278.0>,
awe_0875;P;<669.0,1515.0,0.0>,<652.0,1474.0,41.0>,<641.24023,1411.9221,56.0>,<636.80756,1347.8425,67.0>,<639.0716,1290.7595,78.0>,<647.7044,1222.0693,89.0>,<657.03156,1172.5458,100.0>,<672.3638,1127.5905,112.0>,<684.30505,1094.4238,123.0>,<693.6195,1065.8318,134.0>,<703.85815,1040.2837,145.0>,<713.5464,1017.63403,156.0>,<723.7575,997.73755,167.0>,<735.2131,980.85913,178.0>,<744.4554,967.317,189.0>,<751.8389,955.93506,200.0>,<757.2042,946.59155,212.0>,<761.2048,937.98804,223.0>,<764.18726,929.03186,234.0>,<766.59216,921.2235,245.0>,<770.1705,915.82947,256.0>,<773.1582,912.4209,267.0>,<777.7225,909.4259,278.0>,<781.5883,908.0,289.0>,<784.0,908.0,297.0>,<784.0,908.0,303.0>,
awe_0854;P;<806.0,1419.0,0.0>,<804.0,1412.0,67.0>,<798.6469,1390.9111,84.0>,<795.6388,1371.5133,95.0>,<794.0,1347.208,107.0>,<793.0,1303.2771,118.0>,<796.32684,1249.0874,129.0>,<802.26636,1196.0151,140.0>,<812.2621,1144.0372,151.0>,<826.8094,1093.5082,162.0>,<838.20233,1061.0334,173.0>,<847.1809,1033.7297,184.0>,<857.1647,1010.0377,195.0>,<866.5041,990.36584,207.0>,<875.48755,972.4031,218.0>,<882.8564,956.04956,229.0>,<890.43,941.355,240.0>,<896.2201,929.9497,251.0>,<901.1889,920.6222,262.0>,<905.80994,913.19006,273.0>,<911.1888,906.62244,284.0>,<916.7996,900.2003,295.0>,<923.799,892.6013,307.0>,<929.1848,884.6304,318.0>,<934.18097,877.2285,329.0>,<938.0,874.0,337.0>,<938.0,874.0,342.0>,
fear_0951;N;<759.0,1542.0,0.0>,<751.0,1529.0,39.0>,<727.73553,1469.1984,54.0>,<714.4884,1413.5256,65.0>,<708.24396,1338.7577,76.0>,<713.89233,1244.3994,87.0>,<730.34973,1146.324,98.0>,<764.2107,1055.175,109.0>,<801.7043,981.3982,120.0>,<831.41376,935.24146,132.0>,<855.28796,907.46545,143.0>,<873.7836,889.9701,154.0>,<888.0652,875.2573,165.0>,<902.3196,864.9602,176.0>,<911.336,857.66406,187.0>,<919.88385,850.5581,198.0>,<927.66113,845.66943,209.0>,<935.30457,840.4636,221.0>,<941.0293,836.6471,232.0>,<946.7412,835.0,243.0>,<948.0,835.0,246.0>,<948.0,835.0,252.0>,
anger_0028;N;<703.0,1526.0,0.0>,<696.0,1511.0,47.0>,<681.7318,1468.5614,59.0>,<674.8374,1424.6532,70.0>,<671.0,1356.5172,81.0>,<676.427,1280.8812,92.0>,<689.2378,1219.0391,103.0>,<705.3303,1150.4922,114.0>,<722.765,1085.7048,126.0>,<748.90405,1027.9624,137.0>,<779.95483,983.1173,148.0>,<815.3295,941.6704,159.0>,<845.053,912.947,170.0>,<876.68115,887.255,181.0>,<896.0,872.0,189.0>,<896.0,872.0,194.0>,
awe_0849;P;<701.0,1620.0,0.0>,<691.0,1593.0,49.0>,<670.2544,1486.7205,67.0>,<667.0,1381.7826,78.0>,<683.59576,1236.0214,89.0>,<717.6613,1118.6814,100.0>,<751.62115,1047.7361,111.0>,<789.11865,996.95715,122.0>,<823.8262,961.08435,133.0>,<830.0,956.0,136.0>,<830.0,956.0,141.0>,
